geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ddit3	987.3307527	0.519442146	0.123461629	4.207316471	2.58e-05	0.026017265
Ssh2	2681.70491	-0.325595552	0.086148774	-3.779456583	0.000157171	0.098381572
Acaca	7376.450819	-0.818199646	0.145056345	-5.640564338	1.69e-08	6.14e-05
Acly	8782.16957	-0.625300028	0.152976181	-4.087564634	4.36e-05	0.037618273
Fasn	28332.20791	-1.37346218	0.259082145	-5.301261415	1.15e-07	0.000347354
Tst	679.3973688	-1.224284421	0.276693616	-4.424693422	9.66e-06	0.012501506
Slc5a3	4690.55922	0.449001356	0.095098526	4.721433404	2.34e-06	0.004046172
Angptl4	5967.52325	1.0016095	0.176299028	5.681310397	1.34e-08	6.06e-05
Slc5a7	452.0745011	3.972357038	0.843075084	4.711747639	2.46e-06	0.004046172
Cpt1a	5505.407509	0.49277998	0.120315008	4.095748212	4.21e-05	0.037618273
Lipf	64.34732904	6.747802029	1.693031756	3.985632287	6.73e-05	0.048784909
Ankrd2	5.10924527	-19.54687858	3.419693505	-5.715973829	1.09e-08	6.06e-05
Acss2	3103.29957	-0.900801682	0.200681242	-4.48871888	7.17e-06	0.010820764
S100a4	2438.571995	0.573498314	0.143018323	4.009963906	6.07e-05	0.045854723
Hmgcs2	10077.16089	0.602820343	0.136935077	4.402234674	1.07e-05	0.012944131
Pramef12	31.77026148	-5.714534957	1.346021507	-4.245500482	2.18e-05	0.023250104
Mir7036	13.67552159	-19.38738399	3.162537155	-6.130326077	8.77e-10	7.95e-06
Adcyap1r1	971.3930111	-0.63777396	0.147757115	-4.316367163	1.59e-05	0.017965478
Aldh1l1	2141.089518	-0.876701556	0.172331249	-5.087304605	3.63e-07	0.000822712
Sbsn	452.6892758	-1.319628025	0.320307754	-4.119875362	3.79e-05	0.036156003
Ntrk3	1629.669573	0.561678018	0.110015746	5.105432997	3.3e-07	0.000822712
4632434I11Rik	29.7389402	-3.46662623	0.912339858	-3.799709287	0.000144866	0.097231864
Arntl	495.7366862	-1.013955392	0.252337293	-4.018254222	5.86e-05	0.045854723
F7	22.80010923	5.806586933	1.42905125	4.063246109	4.84e-05	0.039864246
Tppp3	16469.96987	0.41766499	0.093523188	4.465897678	7.97e-06	0.01111488
Acsbg1	500.1806122	0.847668176	0.171911973	4.930826881	8.19e-07	0.001648745
Me1	10439.24327	-0.564801526	0.142788484	-3.955511749	7.64e-05	0.053230583
Prr32	80.59656461	9.069728097	1.075759672	8.430998423	3.43e-17	6.21e-13
4930502E18Rik	15.02361728	6.245473128	1.652662978	3.779036145	0.000157437	0.098381572
